ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType
NSEFO,54576,2,MIDCPNIFTY,MIDCPNIFTY246039625PE,OPTIDX,MIDCPNIFTY-OPTIDX,2415500054576,3.65,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-03T14:30:00,9625,4
NSEFO,48866,2,MIDCPNIFTY,MIDCPNIFTY2451311200PE,OPTIDX,MIDCPNIFTY-OPTIDX,2413400048866,419.0,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-13T14:30:00,11200,4
NSEFO,55600,2,MIDCPNIFTY,MIDCPNIFTY24MAY10800CE,OPTIDX,MIDCPNIFTY-OPTIDX,2414800055600,649.95,161.85,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-27T14:30:00,10800,3
NSEFO,52941,2,MIDCPNIFTY,MIDCPNIFTY2451712275PE,OPTIDX,MIDCPNIFTY-OPTIDX,2413800052941,1514.35,851.45,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-17T14:30:00,12275,4
NSEFO,55592,2,MIDCPNIFTY,MIDCPNIFTY24MAY10700CE,OPTIDX,MIDCPNIFTY-OPTIDX,2414800055592,744.35,215.85,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-27T14:30:00,10700,3
NSEFO,52927,2,MIDCPNIFTY,MIDCPNIFTY2451712150PE,OPTIDX,MIDCPNIFTY-OPTIDX,2413800052927,1389.1,727.9,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-17T14:30:00,12150,4
NSEFO,55472,2,MIDCPNIFTY,MIDCPNIFTY2460312275CE,OPTIDX,MIDCPNIFTY-OPTIDX,2415500055472,20.5,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-03T14:30:00,12275,3
NSEFO,42227,2,MIDCPNIFTY,MIDCPNIFTY24JUN9150PE,OPTIDX,MIDCPNIFTY-OPTIDX,2417600042227,3.6,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-24T14:30:00,9150,4
NSEFO,46424,2,MIDCPNIFTY,MIDCPNIFTY245179300PE,OPTIDX,MIDCPNIFTY-OPTIDX,2413800046424,3.05,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-17T14:30:00,9300,4
NSEFO,52972,2,MIDCPNIFTY,MIDCPNIFTY2451713300CE,OPTIDX,MIDCPNIFTY-OPTIDX,2413800052972,3.05,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-17T14:30:00,13300,3
NSEFO,44220,2,MIDCPNIFTY,MIDCPNIFTY2450612325CE,OPTIDX,MIDCPNIFTY-OPTIDX,2412700044220,3.05,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-06T14:30:00,12325,3
NSEFO,36277,2,MIDCPNIFTY,MIDCPNIFTY245069900PE,OPTIDX,MIDCPNIFTY-OPTIDX,2412700036277,3.1,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-06T14:30:00,9900,4
NSEFO,36613,2,MIDCPNIFTY,MIDCPNIFTY2450611100CE,OPTIDX,MIDCPNIFTY-OPTIDX,2412700036613,156.25,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-06T14:30:00,11100,3
NSEFO,39217,2,MIDCPNIFTY,MIDCPNIFTY24JUL10625PE,OPTIDX,MIDCPNIFTY-OPTIDX,2421100039217,247.75,80.55,4201.0,0.05,50,1,-1,NIFTY MID SELECT,2024-07-29T14:30:00,10625,4
NSEFO,39223,2,MIDCPNIFTY,MIDCPNIFTY24JUL10700PE,OPTIDX,MIDCPNIFTY-OPTIDX,2421100039223,277.4,93.6,4201.0,0.05,50,1,-1,NIFTY MID SELECT,2024-07-29T14:30:00,10700,4
NSEFO,52832,2,MIDCPNIFTY,MIDCPNIFTY2451711300CE,OPTIDX,MIDCPNIFTY-OPTIDX,2413800052832,183.2,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-17T14:30:00,11300,3
NSEFO,38529,2,MIDCPNIFTY,MIDCPNIFTY24JUL9100PE,OPTIDX,MIDCPNIFTY-OPTIDX,2421100038529,6.55,0.25,4201.0,0.05,50,1,-1,NIFTY MID SELECT,2024-07-29T14:30:00,9100,4
NSEFO,52946,2,MIDCPNIFTY,MIDCPNIFTY2451712500CE,OPTIDX,MIDCPNIFTY-OPTIDX,2413800052946,3.1,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-17T14:30:00,12500,3
NSEFO,46404,2,MIDCPNIFTY,MIDCPNIFTY24JUN10025PE,OPTIDX,MIDCPNIFTY-OPTIDX,2417600046404,41.0,2.4,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-24T14:30:00,10025,4
NSEFO,38107,2,MIDCPNIFTY,MIDCPNIFTY24JUL8100CE,OPTIDX,MIDCPNIFTY-OPTIDX,2421100038107,3432.15,2768.25,4201.0,0.05,50,1,-1,NIFTY MID SELECT,2024-07-29T14:30:00,8100,3
NSEFO,46489,2,MIDCPNIFTY,MIDCPNIFTY24JUN10425PE,OPTIDX,MIDCPNIFTY-OPTIDX,2417600046489,119.6,17.0,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-24T14:30:00,10425,4
NSEFO,52932,2,MIDCPNIFTY,MIDCPNIFTY2451712200CE,OPTIDX,MIDCPNIFTY-OPTIDX,2413800052932,3.8,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-17T14:30:00,12200,3
NSEFO,54593,2,MIDCPNIFTY,MIDCPNIFTY246039850CE,OPTIDX,MIDCPNIFTY-OPTIDX,2415500054593,1599.6,942.9,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-03T14:30:00,9850,3
NSEFO,35291,2,MIDCPNIFTY,MIDCPNIFTY2460312625CE,OPTIDX,MIDCPNIFTY-OPTIDX,2415500035291,6.1,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-03T14:30:00,12625,3
NSEFO,54684,2,MIDCPNIFTY,MIDCPNIFTY2460310850PE,OPTIDX,MIDCPNIFTY-OPTIDX,2415500054684,230.95,24.45,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-03T14:30:00,10850,4
NSEFO,43276,2,MIDCPNIFTY,MIDCPNIFTY2451314100CE,OPTIDX,MIDCPNIFTY-OPTIDX,2413400043276,3.05,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-13T14:30:00,14100,3
NSEFO,36340,2,MIDCPNIFTY,MIDCPNIFTY2450610075CE,OPTIDX,MIDCPNIFTY-OPTIDX,2412700036340,1326.8,662.8,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-06T14:30:00,10075,3
NSEFO,36730,2,MIDCPNIFTY,MIDCPNIFTY24MAY9375PE,OPTIDX,MIDCPNIFTY-OPTIDX,2414800036730,3.05,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-27T14:30:00,9375,4
NSEFO,35161,2,MIDCPNIFTY,MIDCPNIFTY2450612625PE,OPTIDX,MIDCPNIFTY-OPTIDX,2412700035161,1885.75,1221.75,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-06T14:30:00,12625,4
NSEFO,48621,2,MIDCPNIFTY,MIDCPNIFTY245138700PE,OPTIDX,MIDCPNIFTY-OPTIDX,2413400048621,3.05,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-13T14:30:00,8700,4
NSEFO,55652,2,MIDCPNIFTY,MIDCPNIFTY24MAY11450CE,OPTIDX,MIDCPNIFTY-OPTIDX,2414800055652,181.15,2.85,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-27T14:30:00,11450,3
NSEFO,54615,2,MIDCPNIFTY,MIDCPNIFTY2460310100CE,OPTIDX,MIDCPNIFTY-OPTIDX,2415500054615,1356.5,715.1,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-03T14:30:00,10100,3
NSEFO,37932,2,MIDCPNIFTY,MIDCPNIFTY2451312525CE,OPTIDX,MIDCPNIFTY-OPTIDX,2413400037932,3.05,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-13T14:30:00,12525,3
NSEFO,55719,2,MIDCPNIFTY,MIDCPNIFTY24MAY12275PE,OPTIDX,MIDCPNIFTY-OPTIDX,2414800055719,1488.55,836.35,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-27T14:30:00,12275,4
NSEFO,37017,2,MIDCPNIFTY,MIDCPNIFTY2450612500CE,OPTIDX,MIDCPNIFTY-OPTIDX,2412700037017,3.1,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-06T14:30:00,12500,3
NSEFO,39495,2,MIDCPNIFTY,MIDCPNIFTY24JUL12225PE,OPTIDX,MIDCPNIFTY-OPTIDX,2421100039495,1329.9,796.7,4201.0,0.05,50,1,-1,NIFTY MID SELECT,2024-07-29T14:30:00,12225,4
NSEFO,37982,2,MIDCPNIFTY,MIDCPNIFTY24MAY12550CE,OPTIDX,MIDCPNIFTY-OPTIDX,2414800037982,3.85,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-27T14:30:00,12550,3
NSEFO,52947,2,MIDCPNIFTY,MIDCPNIFTY2451712500PE,OPTIDX,MIDCPNIFTY-OPTIDX,2413800052947,1734.4,1070.5,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-17T14:30:00,12500,4
NSEFO,36541,2,MIDCPNIFTY,MIDCPNIFTY2450610750PE,OPTIDX,MIDCPNIFTY-OPTIDX,2412700036541,4.65,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-06T14:30:00,10750,4
NSEFO,36717,2,MIDCPNIFTY,MIDCPNIFTY24MAY9275PE,OPTIDX,MIDCPNIFTY-OPTIDX,2414800036717,3.05,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-27T14:30:00,9275,4
NSEFO,39122,2,MIDCPNIFTY,MIDCPNIFTY24JUL10125PE,OPTIDX,MIDCPNIFTY-OPTIDX,2421100039122,99.9,22.4,4201.0,0.05,50,1,-1,NIFTY MID SELECT,2024-07-29T14:30:00,10125,4
NSEFO,39445,2,MIDCPNIFTY,MIDCPNIFTY24JUL11800PE,OPTIDX,MIDCPNIFTY-OPTIDX,2421100039445,966.45,514.65,4201.0,0.05,50,1,-1,NIFTY MID SELECT,2024-07-29T14:30:00,11800,4
NSEFO,46375,2,MIDCPNIFTY,MIDCPNIFTY245178000PE,OPTIDX,MIDCPNIFTY-OPTIDX,2413800046375,3.05,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-17T14:30:00,8000,4
NSEFO,45684,2,MIDCPNIFTY,MIDCPNIFTY24JUN13900PE,OPTIDX,MIDCPNIFTY-OPTIDX,2417600045684,3030.05,2366.75,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-24T14:30:00,13900,4
NSEFO,46767,2,MIDCPNIFTY,MIDCPNIFTY2451710325PE,OPTIDX,MIDCPNIFTY-OPTIDX,2413800046767,10.5,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-17T14:30:00,10325,4
NSEFO,36302,2,MIDCPNIFTY,MIDCPNIFTY245069950CE,OPTIDX,MIDCPNIFTY-OPTIDX,2412700036302,1451.75,787.75,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-06T14:30:00,9950,3
NSEFO,46959,2,MIDCPNIFTY,MIDCPNIFTY24JUN11775PE,OPTIDX,MIDCPNIFTY-OPTIDX,2417600046959,954.95,450.65,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-24T14:30:00,11775,4
NSEFO,39185,2,MIDCPNIFTY,MIDCPNIFTY24JUL10350PE,OPTIDX,MIDCPNIFTY-OPTIDX,2421100039185,155.9,42.9,4201.0,0.05,50,1,-1,NIFTY MID SELECT,2024-07-29T14:30:00,10350,4
NSEFO,36829,2,MIDCPNIFTY,MIDCPNIFTY2450611850PE,OPTIDX,MIDCPNIFTY-OPTIDX,2412700036829,1111.2,447.2,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-06T14:30:00,11850,4
NSEFO,52884,2,MIDCPNIFTY,MIDCPNIFTY2451711775CE,OPTIDX,MIDCPNIFTY-OPTIDX,2413800052884,24.5,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-17T14:30:00,11775,3
NSEFO,46350,2,MIDCPNIFTY,MIDCPNIFTY245177900CE,OPTIDX,MIDCPNIFTY-OPTIDX,2413800046350,3517.25,2853.25,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-17T14:30:00,7900,3
NSEFO,54697,2,MIDCPNIFTY,MIDCPNIFTY2460311000CE,OPTIDX,MIDCPNIFTY-OPTIDX,2415500054697,513.15,118.65,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-03T14:30:00,11000,3
NSEFO,41036,2,MIDCPNIFTY,MIDCPNIFTY24JUN7800PE,OPTIDX,MIDCPNIFTY-OPTIDX,2417600041036,3.05,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-24T14:30:00,7800,4
NSEFO,55696,2,MIDCPNIFTY,MIDCPNIFTY24MAY12000CE,OPTIDX,MIDCPNIFTY-OPTIDX,2414800055696,31.9,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-27T14:30:00,12000,3
NSEFO,39227,2,MIDCPNIFTY,MIDCPNIFTY24JUL10725PE,OPTIDX,MIDCPNIFTY-OPTIDX,2421100039227,287.95,98.45,4201.0,0.05,50,1,-1,NIFTY MID SELECT,2024-07-29T14:30:00,10725,4
NSEFO,36754,2,MIDCPNIFTY,MIDCPNIFTY2450611450CE,OPTIDX,MIDCPNIFTY-OPTIDX,2412700036754,3.6,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-06T14:30:00,11450,3
NSEFO,55681,2,MIDCPNIFTY,MIDCPNIFTY24MAY11800PE,OPTIDX,MIDCPNIFTY-OPTIDX,2414800055681,1009.3,414.2,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-27T14:30:00,11800,4
